Jaar indiening;Gebouw Functie kort;Handeling;Project Aanvrager Type;Aantal projecten;Aantal gebouwen;Aantal gebouwen (met gebouwinfo);Aantal wooneenheden;Aantal (studenten)kamers;Nuttige woonoppervlakte (m²);Nuttige oppervlakte kamerwoningen (m²);Bovengronds nuttige oppervlakte (m²);Bovengronds grond oppervlakte (m²);Gesloopte oppervlakte (m²);Gesloopte volume (m³);[Project Huidige Toestand Eenvoudig]
2018;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;3;3;3;0;459;0,00;10.322;14.485,10;2.873,38;0,00;0,00;Vergunning
2018;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;1;1;1;0;58;0,00;1.208;2.415,43;709,24;0,00;0,00;Stopgezet
2018;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;8;0,00;189;295,76;98,53;0,00;0,00;Vergunning
2018;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;28;0,00;742;1.818,75;735,87;0,00;0,00;Vergunning
2018;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;24;0,00;565;677,06;258,06;0,00;0,00;Weigering
2018;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;3;3;3;0;9;0,00;315;578,68;17.573,00;0,00;0,00;Stopgezet
2018;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;1;0,00;32;232,50;149,30;0,00;0,00;Weigering
2018;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;4;4;4;1;244;216,39;649;2.095,67;1.665,68;0,00;0,00;Weigering
2018;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;19;19;19;3;59;1.038,19;1.886;5.404,64;20.110,89;0,00;0,00;Vergunning
2019;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;622;0,00;19.506;20.022,00;1.230,00;0,00;0,00;Stopgezet
2019;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;3;3;3;0;320;0,00;10.013;10.245,36;763,70;0,00;0,00;Vergunning
2019;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;2;2;2;0;12;0,00;495;740,88;404,35;0,00;0,00;Vergunning
2019;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;6;6;6;0;69;0,00;897;2.759,39;1.228,20;0,00;0,00;Stopgezet
2019;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;3;3;3;0;17;0,00;483;201,10;720,00;0,00;0,00;Weigering
2019;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;12;0,00;346;942,70;442,94;0,00;0,00;Vergunning
2019;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;4;0,00;84;799,50;368,08;0,00;0,00;Weigering
2019;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;36;36;36;1;90;173,82;6.702;9.378,03;5.223,15;0,00;0,00;Vergunning
2020;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;38;39;39;0;153;0,00;3.267;8.178,27;4.536,34;0,00;0,00;Vergunning
2020;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;5;5;5;0;49;0,00;966;2.055,54;1.027,99;0,00;0,00;Vergunning
2020;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;6;6;6;0;8;0,00;743;1.613,60;778,37;0,00;0,00;Weigering
2020;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;5;5;5;0;38;0,00;605;2.237,10;888,50;0,00;0,00;Stopgezet
2020;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;5;0,00;107;236,10;130,45;0,00;0,00;Stopgezet
2021;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;2;29;29;0;82;0,00;1.601;4.720,00;2.020,11;0,00;0,00;Vergunning
2021;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;1;1;1;0;3;0,00;62;305,00;117,80;0,00;0,00;Vergunning
2021;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;1;1;1;0;3;0,00;60;305,00;117,80;0,00;0,00;Stopgezet
2021;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;33;33;33;0;107;0,00;3.207;7.892,33;3.442,94;0,00;0,00;Vergunning
2021;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;5;5;5;0;24;0,00;704;1.596,11;608,71;0,00;0,00;Stopgezet
2021;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;4;4;4;0;11;0,00;351;1.186,72;592,54;0,00;0,00;Vergunning
2021;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;0;3;0,00;49;182,66;124,28;0,00;0,00;Weigering
2022;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;4;0,00;127;226,40;81,60;0,00;0,00;Weigering
2022;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;31;31;31;0;109;0,00;2.606;6.417,94;3.275,86;0,00;0,00;Vergunning
2022;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;66;0,00;2.394;5.789,35;1.970,71;0,00;0,00;Vergunning
2022;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;8;9;9;0;32;0,00;1.023;1.485,67;824,54;0,00;0,00;Stopgezet
2022;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;5;5;5;0;8;0,00;286;864,23;455,49;0,00;0,00;Weigering
2022;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon-Rechtspersoon;1;1;1;0;4;0,00;134;315,00;154,00;0,00;0,00;Vergunning
2022;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;3;0,00;100;160,22;93,26;0,00;0,00;Weigering
2023;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;58;0,00;1.779;1.956,96;643,40;0,00;0,00;Geen beslissing genomen
2023;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;2;2;2;0;7;0,00;226;422,86;169,00;0,00;0,00;Vergunning
2023;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;4;0,00;71;166,41;74,41;0,00;0,00;Weigering
2023;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;1;1;1;0;0;0,00;65;212,90;163,50;0,00;0,00;Stopgezet
2023;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;48;48;48;0;115;0,00;3.611;8.699,31;4.381,79;0,00;0,00;Vergunning
2023;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;12;12;12;0;38;0,00;1.216;1.795,73;1.056,91;0,00;0,00;Stopgezet
2023;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;3;3;3;0;7;0,00;201;631,88;305,22;0,00;0,00;Weigering
2023;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;3;0,00;115;274,09;101,50;0,00;0,00;Vergunning
2023;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;0;1;0,00;78;255,30;112,66;0,00;0,00;Aktename
2023;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;3;0,00;48;158,70;76,20;0,00;0,00;Weigering
2024;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon-Rechtspersoon;1;3;3;0;9;0,00;298;683,28;273,94;0,00;0,00;Vergunning
2024;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;3;3;0;9;0,00;287;668,86;273,94;0,00;0,00;Stopgezet
2024;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;2;2;2;0;4;0,00;112;322,00;225,00;0,00;0,00;Stopgezet
2024;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;4;0,00;99;239,31;72,87;0,00;0,00;Vergunning
2024;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;1;1;1;0;2;0,00;56;161,00;113,60;0,00;0,00;Vergunning
2024;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;43;43;43;0;125;0,00;7.331;7.424,74;4.267,90;0,00;0,00;Vergunning
2024;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;55;0,00;1.408;3.504,29;1.625,53;0,00;0,00;Vergunning
2024;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;35;0,00;726;1.594,39;753,47;0,00;0,00;Stopgezet
2024;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;9;9;9;0;46;0,00;664;3.622,28;2.652,39;0,00;0,00;Stopgezet
2024;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;4;4;4;0;15;0,00;601;790,00;415,30;0,00;0,00;Weigering
2024;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;9;0,00;51;214,64;113,46;0,00;0,00;Weigering
2025;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;3;4;4;0;167;0,00;4.812;5.500,58;1.164,23;0,00;0,00;Stopgezet
2025;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;141;0,00;3.386;4.797,77;981,25;0,00;0,00;Vergunning
2025;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;1;1;0;51;0,00;1.356;1.539,40;480,40;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezins- en kamerwoning;Nieuwbouw;Rechtspersoon;1;2;2;0;5;0,00;137;275,76;117,66;0,00;0,00;Weigering
2025;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;1;1;1;0;0;0,00;41;249,25;94,80;0,00;0,00;Weigering
2025;eengezins- en kamerwoning;Nieuwbouw;Natuurlijk persoon;1;1;1;0;1;0,00;34;135,71;164,37;0,00;0,00;Vergunning
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;34;34;34;0;100;0,00;2.636;7.647,44;4.003,07;0,00;0,00;Vergunning
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;11;11;11;0;31;0,00;1.677;4.373,54;1.653,26;0,00;0,00;Stopgezet
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;7;7;7;0;27;0,00;789;2.337,46;1.051,79;0,00;0,00;Weigering
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;17;0,00;600;600,34;240,10;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;4;4;4;0;25;0,00;464;1.450,30;620,39;0,00;0,00;Vergunning
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;7;0,00;397;675,11;301,55;0,00;0,00;In behandeling (na beroep)
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;4;4;4;0;11;0,00;363;1.530,31;550,24;0,00;0,00;In behandeling (in eerste aanleg)
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;1;1;1;0;2;0,00;47;224,00;87,00;0,00;0,00;In behandeling (na beroep)
2025;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;2;0,00;47;158,70;76,20;0,00;0,00;Weigering
2026;eengezins- en kamerwoning;Verbouwen of hergebruik;Natuurlijk persoon;7;7;7;0;24;0,00;818;2.052,64;1.037,53;0,00;0,00;In behandeling (in eerste aanleg)
2026;eengezins- en kamerwoning;Verbouwen of hergebruik;Rechtspersoon;1;1;1;0;4;0,00;126;245,00;101,50;0,00;0,00;In behandeling (in eerste aanleg)
