"Jaar indiening","Project Besluit VVO Type","Gebouw Functie kort","Handeling","[Project Indiening Datum.autoCalendar.Quarter]","Aantal projecten","Aantal gebouwen","Aantal gebouwen (met gebouwinfo)","Aantal wooneenheden","Aantal (studenten)kamers","Nuttige woonoppervlakte (m²)","Nuttige oppervlakte kamerwoningen (m²)","Bovengronds nuttige oppervlakte (m²)","Bovengronds grond oppervlakte (m²)","Gesloopte oppervlakte (m²)","Gesloopte volume (m³)"
"2021","-","eengezinswoning","Verbouwen of hergebruik","Q1","646","686","688","634","0","174.601,65","0","165.532,64","107.730,78","0,00","0,00"
"2021","-","eengezinswoning","Verbouwen of hergebruik","Q2","727","771","771","688","0","183.777,89","0","197.415,50","144.901,08","0,00","0,00"
"2021","-","eengezinswoning","Nieuwbouw","Q2","458","875","875","855","0","187.367,16","0","193.709,31","115.275,11","0,00","0,00"
"2021","-","eengezinswoning","Nieuwbouw","Q3","402","862","862","851","0","197.314,17","0","148.031,44","91.908,36","0,00","0,00"
"2021","Provincie","meergezinswoning","Nieuwbouw","Q4","99","138","138","1.476","0","199.272,15","0","163.945,64","59.846,88","0,00","0,00"
"2021","-","meergezinswoning","Nieuwbouw","Q1","130","174","174","1.772","0","200.229,84","0","192.679,80","63.829,84","0,00","0,00"
"2021","-","eengezinswoning","Verbouwen of hergebruik","Q4","697","739","742","654","0","205.147,72","0","227.035,47","127.824,39","0,00","0,00"
"2021","-","meergezinswoning","Nieuwbouw","Q4","199","252","252","2.769","0","256.342,13","0","293.403,28","119.776,71","0,00","0,00"
"2021","-","eengezinswoning","Verbouwen of hergebruik","Q3","589","620","625","567","0","302.578,76","0","125.525,50","87.953,09","0,00","0,00"
"2021","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q3","528","552","552","2.915","0","312.975,33","0","497.894,83","180.225,49","0,00","0,00"
"2021","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q1","599","631","631","2.773","0","319.184,12","0","343.523,59","153.840,81","0,00","0,00"
"2021","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q2","577","602","602","3.029","0","331.099,83","0","612.966,41","170.486,09","0,00","0,00"
"2021","-","meergezinswoning","Nieuwbouw","Q3","202","256","256","2.879","0","347.404,59","0","619.485,84","123.794,62","0,00","0,00"
"2021","-","eengezinswoning","Nieuwbouw","Q4","524","1.151","1.151","1.130","0","410.085,32","0","233.412,36","131.683,78","0,00","0,00"
"2021","-","meergezinswoning","Nieuwbouw","Q2","194","253","253","2.871","0","434.266,72","0","354.395,36","125.445,44","0,00","0,00"
"2021","Gemeente","meergezinswoning","Nieuwbouw","Q1","402","481","481","3.639","0","441.725,46","0","467.723,88","178.897,47","0,00","0,00"
"2021","Gemeente","meergezinswoning","Verbouwen of hergebruik","Q4","636","657","657","3.006","0","450.920,61","0","590.610,30","186.861,66","0,00","0,00"
"2021","Gemeente","meergezinswoning","Nieuwbouw","Q3","509","616","616","5.226","0","667.265,12","0","720.014,32","233.002,61","0,00","0,00"
"2021","Gemeente","meergezinswoning","Nieuwbouw","Q2","504","637","637","5.455","0","806.808,45","0","831.356,22","255.769,94","0,00","0,00"
"2021","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q3","3.866","4.066","4.072","3.866","0","898.925,89","0","892.626,46","676.808,46","0,00","0,00"
"2021","Gemeente","meergezinswoning","Nieuwbouw","Q4","673","862","862","7.722","0","917.182,36","0","1.107.899,79","430.694,55","0,00","0,00"
"2021","Gemeente","eengezinswoning","Nieuwbouw","Q3","2.967","4.255","4.256","4.201","0","943.731,54","0","939.319,33","566.212,79","0,00","0,00"
"2021","Gemeente","eengezinswoning","Nieuwbouw","Q2","3.642","5.389","5.389","5.317","0","1.207.655,51","0","1.254.382,57","779.152,48","0,00","0,00"
"2021","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q1","4.714","4.953","4.959","4.731","0","1.535.593,67","0","1.533.554,00","1.385.193,12","0,00","0,00"
"2021","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q2","5.084","5.339","5.348","5.103","0","1.622.326,51","0","1.633.249,49","847.972,68","0,00","0,00"
"2021","Gemeente","eengezinswoning","Nieuwbouw","Q4","4.574","7.202","7.202","7.124","0","1.662.718,91","0","1.762.927,51","953.138,21","0,00","0,00"
"2021","Gemeente","eengezinswoning","Verbouwen of hergebruik","Q4","4.728","4.946","4.955","4.706","0","1.675.434,17","0","1.130.471,07","824.506,42","0,00","0,00"
"2021","Gemeente","eengezinswoning","Nieuwbouw","Q1","2.791","3.998","3.998","3.943","0","1.783.409,49","0","1.769.344,87","505.315,58","0,00","0,00"
"2022","Gemeente","kamerwoning","Verbouwen of hergebruik","Q2","50","50","50","0","1.088","0,00","17.987","21.635,33","9.801,28","0,00","0,00"
"2022","Gemeente","kamerwoning","Nieuwbouw","Q4","15","15","15","0","704","0,00","16.796","20.450,47","5.735,78","0,00","0,00"
"2022","Gemeente","kamerwoning","Verbouwen of hergebruik","Q4","47","48","48","0","652","0,00","15.505","19.406,96","7.982,74","0,00","0,00"
"2022","Gemeente","kamerwoning","Nieuwbouw","Q3","8","8","8","0","435","0,00","14.185","15.333,40","3.979,45","0,00","0,00"
"2022","Gemeente","kamerwoning","Nieuwbouw","Q1","2","3","3","0","466","0,00","12.614","14.213,25","3.025,16","0,00","0,00"
"2022","-","kamerwoning","Nieuwbouw","Q3","4","4","4","0","449","0,00","11.263","17.066,04","3.829,08","0,00","0,00"
"2022","-","kamerwoning","Verbouwen of hergebruik","Q1","16","17","17","0","288","0,00","10.768","11.319,75","4.864,16","0,00","0,00"
"2022","Gemeente","kamerwoning","Verbouwen of hergebruik","Q1","35","35","35","0","405","0,00","10.045","27.883,70","6.181,40","0,00","0,00"
"2022","Gemeente","kamerwoning","Verbouwen of hergebruik","Q3","31","34","34","0","390","0,00","8.638","9.560,22","5.269,18","0,00","0,00"
"2022","-","kamerwoning","Nieuwbouw","Q4","5","8","8","0","307","0,00","7.283","10.182,03","2.251,95","0,00","0,00"
"2022","-","kamerwoning","Nieuwbouw","Q2","1","1","1","0","300","0,00","7.198","11.972,00","2.254,40","0,00","0,00"
